,LamS,LamS1H,LamS2H,LamSP,LamSPH,MDF,MS12,MS22,NSD,NSI,Omega,PSD,PSI,S,T,U,XU11,XU12,XU21,XU22,XV11,XV12,XV21,XV22,YRA11,YRA12,YRA13,YRA21,YRA22,YRA23,YRB11,YRB12,YRB13,YRB21,YRB22,YRB23,YRC,YRD,mCha,mChi1,mChi2,mS1,mS2,mh1,mh2,mn1,mn2,mn3,mueg,mv1,mv2,mv3,vS,vevSM
21,0.0001,0.0,0.0,0.1,0.0,258.79595269383844,8000000.0,7000000.0,6.785e-05,1.624e-05,1.59,8.873e-05,3.764e-07,0.0903981881,0.0282768825,0.000301846757,0.317809062,-0.948154734,0.948154734,0.317809062,0.014073164499999999,-0.999900968,0.999900968,0.014073164499999999,0.0,0.11670029808001547,0.005804420314611743,0.0,0.007080699736751161,0.03358658999109542,-3.007365356621617e-08,2.549537243309337e-08,1.0927135969737877e-07,-1.8049002247564693e-07,-9.32480294381542e-07,-9.264529738826778e-07,0.1,0.5,258.79595,11.4599564,272.91992700000003,2645.75131,2828.42712,54.0475152,124.860125,0.0,9.609548525233276e-12,4.445579671480462e-11,0.0,1.9656273999999998e-19,8.634114280000001e-12,4.9478179100000005e-11,170.9132547611311,244.870852
22,0.0001,0.0,0.0,0.1,0.0,312.25055277626734,8000000.0,7000000.0,5.044e-05,2.086e-05,0.20800000000000002,6.596e-05,5.16e-07,0.00452276256,-0.00743988901,0.00111528797,0.30686224100000004,-0.951753941,0.951753941,0.30686224100000004,0.11483519699999999,-0.9933845570000001,0.9933845570000001,0.11483519699999999,0.0,0.005235953703963571,0.0023564144793919327,0.0,0.7273053093494761,0.09804122838000698,-3.6941513240445686e-07,-2.119503034086757e-06,-1.8883503747428616e-06,1.8483989867840186e-09,1.3297140232806673e-08,1.295744778050352e-08,0.1,0.5,312.25055,116.85163100000001,325.908684,2645.75131,2828.42712,124.861947,545.434363,0.0,6.315297977043231e-12,6.853470823328065e-11,0.0,3.1795324900000003e-19,8.59575427e-12,5.035255670000001e-11,1724.8148920582987,244.874425
23,0.0001,0.0,0.0,0.1,0.0,222.1935188728263,8000000.0,7000000.0,0.000139,3.909e-05,0.000188,0.0001818,9.307999999999999e-07,0.00682316921,-0.0168672289,0.00491057863,0.377123648,-0.92616292,0.92616292,0.377123648,0.0782846668,-0.9969310459999999,0.9969310459999999,0.0782846668,0.0,0.00016041192633348876,0.014563958738530537,0.0,0.004800152948128636,0.0005251365857451326,-1.299199656762574e-07,-6.269217841023022e-07,-6.862659479076019e-07,-2.42505231364697e-07,-2.2756454297583965e-07,3.041672915543482e-07,0.1,0.5,222.19352,46.123720299999995,239.171331,2645.75131,2828.42712,124.861947,222.032761,4.336808689942018e-19,7.905624184725715e-12,5.5690299075377126e-11,0.0,1.8286661399999997e-19,8.79613462e-12,5.00522783e-11,702.129240539991,244.874425
24,0.0001,0.0,0.0,0.1,0.0,283.5820401572016,8000000.0,7000000.0,4.924e-05,1.178e-05,1.82,6.440000000000001e-05,2.733e-07,0.0822309993,0.0283656837,-0.000147853748,0.292497207,-0.9562663770000001,0.9562663770000001,0.292497207,0.01277379,-0.999918412,0.999918412,0.01277379,0.0,0.008290583554884266,0.0680167211850987,0.0,0.3470357263421429,0.004816880423030279,-9.70646120878634e-08,-4.4852012298195456e-07,-4.37046162263465e-07,-8.971821861623859e-09,-6.015054050033925e-11,2.188553245618841e-08,0.1,0.5,283.58204,12.3844513,296.527108,2645.75131,2828.42712,57.9131846,124.86023600000001,0.0,7.663940672790265e-12,5.4758433129202226e-11,0.0,4.32171056e-19,8.51747823e-12,4.9271073e-11,183.1375712304179,244.871069
25,0.0001,0.0,0.0,0.1,0.0,384.9614042153455,8000000.0,7000000.0,9.797e-05,0.001643,0.0408,0.0001281,3.894e-05,0.0022189326699999998,-0.00248234337,0.000564699184,0.727025058,-0.686610927,0.686610927,0.727025058,0.645214089,-0.7640018190000001,0.7640018190000001,0.645214089,0.0,0.007451647708898173,0.3059827188701401,0.0,0.0005180791785161316,0.0037752281146400672,-5.319919027973733e-10,8.825998061126439e-11,1.6232615442065179e-09,4.874513444116866e-08,4.040907587441405e-08,-7.543254516994455e-08,0.1,0.5,384.9614,341.642308,428.352067,2645.75131,2828.42712,124.861947,1700.08379,0.0,7.091423345032093e-12,5.91894420522795e-11,0.0,3.68632402e-20,1.42556432e-12,8.461661229999999e-12,5376.13703811948,244.874425
26,0.0001,0.0,0.0,0.1,0.0,232.7608524385389,8000000.0,7000000.0,9.671e-05,2.314e-05,1.51,0.00012649999999999998,5.357e-07,0.10496976,0.0287017332,0.000964648374,0.349178049,-0.937056397,0.937056397,0.349178049,0.014976511100000001,-0.9998878459999999,0.9998878459999999,0.014976511100000001,0.0,0.3348695858332933,0.014008495310910586,0.0,0.0002582431451252447,0.000816815562690127,-9.562321552204402e-09,2.632535409608397e-08,5.824468885334177e-08,-9.408977575945495e-06,-4.783853437618021e-05,-4.494150987124701e-05,0.1,0.5,232.76085,9.9832892,248.367917,2645.75131,2828.42712,47.6402695,124.859944,0.0,9.372483103192214e-12,4.442379839823357e-11,0.0,3.16727978e-19,8.42205283e-12,4.94370365e-11,150.6517590835396,244.870496
27,0.0001,0.0,0.0,0.1,0.0,733.670819193503,8000000.0,7000000.0,1.49e-06,3.734000000000001e-07,9.01,1.9480000000000002e-06,9.249e-09,0.000976126241,-0.0019151690700000001,0.00017552195899999998,0.11904137699999999,-0.992889294,0.992889294,0.11904137699999999,0.0149453234,-0.9998883120000001,0.9998883120000001,0.0149453234,0.0,0.20099878267161767,0.002191522253483398,0.0,0.03615818465019107,0.011141740373889906,7.907872934459105e-09,4.305489553576361e-08,4.737327281248562e-08,-4.924910186762246e-08,-2.2677442288486976e-07,-2.2972392578671146e-07,0.1,0.5,733.67082,92.11038959999999,738.84257,2645.75131,2828.42712,124.861947,414.83394,4.336808689942018e-19,7.695265263326715e-12,5.5800116912034105e-11,0.0,4.2451064200000003e-19,8.48754269e-12,5.05913474e-11,1311.8200897830027,244.874425
28,0.0001,0.0,0.0,0.1,0.0,600.5145271349138,8000000.0,7000000.0,3.013e-06,7.189e-07,4.39,3.94e-06,1.686e-08,0.0152437689,0.007564562320000002,-0.00022833644899999999,0.142922129,-0.989733937,0.989733937,0.142922129,0.005765495450000001,-0.999983379,0.999983379,0.005765495450000001,0.0,0.14204000130044958,0.0019514327178425405,0.0,0.006458464250755767,0.0011505598196486966,8.337741919217111e-08,4.6898084044692967e-07,4.521298897480237e-07,-1.860511388197876e-06,-9.558852468499035e-06,-8.785667597096207e-06,0.1,0.5,600.51453,24.2248266,606.733312,2645.75131,2828.42712,109.458627,124.861598,6.133173666733497e-19,5.7216223910791925e-12,7.346833797449906e-11,0.0,3.1840043500000003e-19,8.46168458e-12,4.9677808899999995e-11,346.13857006372496,244.87374
29,0.0001,0.0,0.0,0.1,0.0,168.76278543510068,8000000.0,7000000.0,4.4969999999999995e-06,0.007141,0.00318,5.881e-06,0.000164,0.003974006370000001,-0.00216226929,0.00296256337,0.9988913890000001,-0.047074343399999996,0.047074343399999996,0.9988913890000001,0.9867428220000001,-0.162291722,0.162291722,0.9867428220000001,0.0,0.002846719726991021,0.004561820943446442,0.0,0.39983202780138816,0.04811078051720427,-8.140657218782105e-08,-3.908523417412964e-07,-4.1824792339248035e-07,4.5449466373963206e-13,2.021856958806564e-09,3.315609865176196e-09,0.1,0.5,168.76279,166.710289,581.820197,2645.75131,2828.42712,124.861947,2570.33362,0.0,7.654332121547972e-12,5.61941477501543e-11,0.0,3.4128565e-19,8.586959849999999e-12,5.0090909e-11,8128.108643588091,244.874425
30,0.0001,0.0,0.0,0.1,0.0,233.43382962785267,8000000.0,7000000.0,6.788e-07,0.007295,0.00584,8.877e-07,0.0001674,0.0017741296,-0.0008808867,0.00149334858,0.9996814909999999,-0.025237193999999998,0.025237193999999998,0.9996814909999999,0.994990487,-0.0999696536,0.0999696536,0.994990487,0.0,0.05471800199954978,0.0079951581897009,0.0,0.0007420157578162003,0.0007575755051542687,1.4691730097262594e-09,1.8904317980531868e-08,2.448934244174369e-08,-2.8178351196393197e-07,-1.4418835939012954e-06,-1.445655474096919e-06,0.1,0.5,233.43382999999997,232.338442,924.6788359999999,2645.75131,2828.42712,124.861947,4115.884620000002,0.0,9.855180678250096e-12,4.563394286214264e-11,0.0,3.09192532e-19,8.97652252e-12,5.0100826e-11,13015.569535697456,244.874425
