,MDF,MS12,MS22,LamS1H,LamS2H,LamSPH,LamS,LamSP,vS,YRD,YRC,YRA11,YRA12,YRA13,YRA21,YRA22,YRA23,YRB11,YRB12,YRB13,YRB21,YRB22,YRB23,mh1,mh2,mv3,mv2,mv1,mS1,mS2,mCha,mChi1,mChi2,XV11,XV12,XV21,XV22,XU11,XU12,XU21,XU22,vevSM,Omega,PSI,PSD,NSI,NSD,T,S,U,mueg
137,155.00069865499745,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,123.73085525704028,1.0,0.1,0.0,0.009033668332259362,0.4404398431843827,0.0,0.06834460935842394,0.003512580888500965,1.5745982958506644e-08,7.464013751192905e-08,7.549494194909737e-08,6.35434687744227e-08,4.4635193517833236e-08,-7.687956321693454e-08,39.1271334,124.859709,4.41163739e-11,7.70755941e-12,1.63934019e-19,2645.75131,2828.42712,155.0007,5.83317832,232.483128,0.0280572629,-0.999606318,0.999606318,0.0280572629,0.745544737,-0.6664555839999999,0.6664555839999999,0.745544737,244.870036,0.292,9.846e-06,0.002336,0.0004269,0.001786,-0.268854961,0.148744289,0.0339863945,0.0
138,107.88548902316532,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,3691.093238078024,1.0,0.1,0.0,0.2397736699865937,0.0023996934334649194,0.0,0.3039421193006843,0.2960834372824117,7.148744041680895e-10,8.119523939930994e-09,1.05237631862791e-08,-1.4150004206645536e-09,-6.547054606097571e-09,-6.51779457761066e-09,124.861947,1167.22616,4.93301553e-11,8.40395161e-12,3.040301110000001e-19,2645.75131,2828.42712,107.88549,88.1810855,319.321096,0.800419944,-0.5994396670000001,0.5994396670000001,0.800419944,0.979276874,-0.202526056,0.202526056,0.979276874,244.874425,0.0013,0.0001082,0.001014,0.004646,0.0007752999999999999,-0.1182897,0.0417132347,0.0152428273,0.0
139,470.4429988807305,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,2729.789397985629,1.0,0.1,0.0,0.015632299195783104,0.0059939474143888855,0.0,0.016758223070726483,0.0004176401378422849,-3.194559813362987e-08,-1.6487120403335213e-07,-1.3865771136903402e-07,2.059810937533769e-08,1.3414122366477467e-07,1.257009581673019e-07,124.861947,863.235204,4.96710795e-11,8.8893814e-12,4.1749028600000005e-19,2645.75131,2828.42712,470.443,179.335198,506.355602,0.150776234,-0.988567917,0.988567917,0.150776234,0.395525388,-0.918455044,0.918455044,0.395525388,244.874425,0.0542,1.492e-06,0.0001808,5.815e-05,0.0001383,-0.0494006379,0.007471589620000002,0.0011388774,0.0
140,250.43355390502185,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,6333.6150889016135,1.0,0.1,0.0,0.00021074782826195921,0.0004076291256798627,0.0,0.010353609672934538,0.0007925119919156193,-3.693252228140367e-07,-1.6899855600134094e-06,-1.917707733925861e-06,-2.834994491333831e-09,2.285377992967053e-08,4.5059762256280914e-08,124.861947,2002.86495,4.98740961e-11,8.99035772e-12,1.95261984e-19,2645.75131,2828.42712,250.43355,228.419786,491.015792,0.8862856579999999,-0.463138999,0.463138999,0.8862856579999999,0.971700692,-0.236215506,0.236215506,0.971700692,244.874425,0.00821,0.0001284,0.0002553,0.005502,0.0001952,-0.0416640857,0.0127970069,0.00190674655,0.0
141,190.05123903119446,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,14.951620788558342,1.0,0.1,0.0,0.0004428379223365637,0.041920703546716905,0.0,0.0003327442218066147,0.1508269267116336,-9.981093869606541e-05,-0.00010493009155867105,0.00011660848692283977,2.462230470608089e-05,2.4743808060548504e-05,-3.077937622603303e-05,4.72811771,124.859081,4.98326697e-11,8.67464514e-12,1.6716074199999999e-19,2645.75131,2828.42712,190.05124,0.7815236440000001,257.099876,0.0027694510100000004,-0.999996165,0.999996165,0.0027694510100000004,0.6734762320000001,-0.739208878,0.739208878,0.6734762320000001,244.868804,40.8,1.811e-06,0.0004339,7.888e-05,0.0003318,-0.203682859,0.296702529,0.0327894556,0.0
142,256.0820051163932,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,515.2478858957297,1.0,0.1,0.0,0.0373584883640297,0.148011441486879,0.0,0.00036106215841919534,0.018229060675374286,-2.178106313849637e-08,-2.1480763383460527e-08,3.0683820238685435e-08,9.682390512751278e-08,-1.3086874493692422e-07,-5.41543234957044e-07,124.861947,162.935689,4.96517819e-11,8.398219509999999e-12,1.39438323e-19,2645.75131,2828.42712,256.08201,30.1154579,309.806712,0.0665018521,-0.997786302,0.997786302,0.0665018521,0.56548793,-0.824756571,0.824756571,0.56548793,244.874425,0.00951,4.311e-06,0.000956,0.000183,0.000731,-0.175550657,0.00915673244,0.020351968600000003,0.0
143,236.96472229333943,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,15.55382577890293,1.0,0.1,0.0,0.5331851098386452,0.0681786169322081,0.0,0.043356274102817324,0.0007691345565714247,-7.68236196133827e-07,-3.8643444767781696e-06,-3.393420975406045e-06,7.870274129275407e-06,4.228127172458448e-05,3.8279991512668956e-05,4.91855165,124.859082,4.99580514e-11,8.48791965e-12,1.10233659e-19,2645.75131,2828.42712,236.96472000000003,0.888016382,293.484353,0.0022109343,-0.999997556,0.999997556,0.0022109343,0.589981714,-0.8074166070000001,0.8074166070000001,0.589981714,244.868806,51.1,1.221e-06,0.0002926,5.319e-05,0.0002237,-0.143708841,0.288772099,0.0240346178,0.0
144,1205.1763824888278,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,61.63866942068682,1.0,0.1,0.0,0.05326513241845859,0.31997036001345336,0.0,0.00013394495799452222,0.16605911578672328,-5.973444447849412e-08,-5.66106965724492e-08,7.173198956884423e-08,7.710596552915269e-08,-3.198228068130932e-08,-2.5672236622592337e-07,19.4918586,124.859254,5.04262136e-11,8.62001032e-12,3.8219318e-19,2645.75131,2828.42712,1205.1764,4.31421347,1217.55123,0.000509082706,-0.99999987,0.99999987,0.000509082706,0.14221235599999998,-0.989836171,0.989836171,0.14221235599999998,244.869144,257.0,1.18e-08,2.82e-06,5.124000000000001e-07,2.156e-06,0.0472859314,0.187444406,-0.000477910306,0.0
145,101.93675200531351,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,36.28251279696342,1.0,0.1,0.0,0.002262270895128068,0.00583252914027135,0.0,0.06273704761644835,0.0433850509462202,2.69259519840984e-06,2.4797949294761874e-05,2.5769691513425555e-05,1.422938895979141e-07,-6.272339368297846e-07,-1.0916852805742388e-06,11.473538,124.859136,2.8945452000000002e-11,5.15810481e-12,2.69333502e-19,2645.75131,2828.42712,101.93675,1.30151581,200.93875,0.0110031779,-0.999939463,0.999939463,0.0110031779,0.8617860709999999,-0.507271887,0.507271887,0.8617860709999999,244.868913,5.86,7.945e-06,0.001902,0.00034589999999999995,0.001454,-0.353848008,0.300501819,0.0473137029,0.0
146,165.08000007449462,8000000.0,7000000.0,0.0,0.0,0.0,0.0001,0.1,113.10909231822376,1.0,0.1,0.0,0.0006835559495741449,0.17915034980565495,0.0,0.0006123076415960443,0.00010955223762359216,3.677637638850305e-08,2.19054630822928e-07,1.901021504554305e-07,7.375207593835132e-06,6.369373417448443e-06,-9.90789009984515e-06,35.7682348,124.85962,4.70606759e-11,8.51275538e-12,3.2960925099999995e-19,2645.75131,2828.42712,165.08,5.51734602,239.302232,0.0242029058,-0.999707067,0.999707067,0.0242029058,0.72415536,-0.6896368709999999,0.6896368709999999,0.72415536,244.869862,0.3720000000000001,8.619e-06,0.002048,0.0003738,0.001566,-0.250732462,0.15473663699999998,0.0313843458,0.0
