,MDF,MS12,MS22,LamS1H,LamS2H,LamSPH,LamS,LamSP,vS,YRD,YRC,YRA11,YRA12,YRA13,YRA21,YRA22,YRA23,YRB11,YRB12,YRB13,YRB21,YRB22,YRB23,mh1,mh2,mv3,mv2,mv1,mS1,mS2,mCha,mChi1,mChi2,XV11,XV12,XV21,XV22,XU11,XU12,XU21,XU22
10,474.05560592051427,20463668.1797802,20463668.1797802,0.014126114539507626,0.014126114539507626,0.00023630160950507484,9.51634124628864e-05,0.02585712664958217,712.7082973281472,0.00048318255807600953,0.0337808030720045,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,114.601554,124.864489,9.3617379e-11,5.52575023e-14,0.0,4523.7254,4523.7254,474.05561,17.0242027,474.055617,6.34610904e-06,-1.0,1.0,6.34610904e-06,0.000176713626,-0.999999984,0.999999984,0.000176713626
11,414.909117262006,31500334.780710876,31500334.780710876,0.014595810473239082,0.014595810473239082,0.001085389946686412,3.331220258598549e-05,0.04159063763019918,788.8206923333556,0.00023572058600207987,0.014394969620688817,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,124.844845,160.883651,1.40819323e-11,8.31183713e-15,5.78364223e-20,5612.55491,5612.55491,414.90912,8.02923294,414.909122,1.9043936e-06,-1.0,1.0,1.9043936e-06,9.84091854e-05,-0.999999995,0.999999995,9.84091854e-05
12,428.5191642758931,2914040.568343453,2914040.568343453,0.000306996459696992,0.000306996459696992,0.029410726911015123,4.465930763692835e-06,0.023611319420020246,603.7703481491707,0.0008101730896136823,0.03282150481891145,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,80.7599651,132.9485,5.30167991e-10,3.12930775e-13,9.0483757e-18,1707.05882,1707.05882,428.51916,14.0124879,428.519183,1.07162263e-05,-1.0,1.0,1.07162263e-05,0.000327715415,-0.999999946,0.999999946,0.000327715415
13,219.3287671664803,12125766.169560295,12125766.169560295,0.00011038363529682418,0.00011038363529682418,0.00025692451532587096,6.132909043456121e-06,0.07580641846973582,900.5556752638723,0.0021756893824601106,0.01846995944038964,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,124.861667,247.949824,2.76433377e-10,1.63164341e-13,0.0,3482.20753,3482.20753,219.32877,11.7614498,219.329094,9.23729897e-05,-0.999999996,0.999999996,9.23729897e-05,0.00172258136,-0.999998516,0.999998516,0.00172258136
14,264.7755140874355,17053538.045630287,17053538.045630287,0.009223566316443436,0.009223566316443436,0.009631888627812543,1.611208872780611e-06,0.033894185434216385,955.2911579719408,0.0020761645433015194,0.06492220286936626,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,123.557336,176.791627,8.26121525e-10,4.87616856e-13,0.0,4129.62644,4129.62644,264.77551,43.8544428,264.775761,0.000231221419,-0.999999973,0.999999973,0.000231221419,0.00139602205,-0.999999026,0.999999026,0.00139602205
15,266.94026724181157,5930387.8151931,5930387.8151931,0.00011554293465986735,0.00011554293465986735,0.0005770461335891589,4.333950882117866e-06,0.038556885412648394,501.8337061439726,0.0002261917989287383,0.024282639189332694,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,98.535263,124.864757,4.22976078e-11,2.49660926e-14,3.22561069e-19,2435.23947,2435.23947,266.94027,8.61669483,266.940273,4.7409833e-06,-1.0,1.0,4.7409833e-06,0.000146872947,-0.999999989,0.999999989,0.000146872947
16,307.29521505400396,46088551.94502477,46088551.94502477,0.00554435656741986,0.00554435656741986,0.02166908248779547,5.4739088676281974e-05,0.055213821729405796,850.7716689809866,0.008848960788773407,0.048946374173645585,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,121.578117,201.924986,1.1547112e-09,6.81566364e-13,1.18050817e-17,6788.86723,6788.86723,307.29522,29.4451043,307.299075,0.0004821946,-0.999999884,0.999999884,0.0004821946,0.00503228292,-0.999987338,0.999987338,0.00503228292
17,237.6347379203412,80397910.62442106,80397910.62442106,0.006373812856305488,0.006373812856305488,0.0037614908821927235,1.176923350097361e-06,0.024512745071797803,605.1053043053433,0.007783390891890915,0.012193742347318681,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,94.4921615,125.04783,9.40589666e-11,5.55181486e-14,8.25909089e-19,8966.49888,8966.49888,237.63474,5.21730196,237.638563,0.000124572821,-0.999999992,0.999999992,0.000124572821,0.0056739729,-0.999983903,0.999983903,0.0056739729
18,279.87559658749774,7767590.615554246,7767590.615554246,0.09913425461980471,0.09913425461980471,0.0010809397752738017,9.774204161992939e-05,0.08312850827131299,594.7895092033214,0.000238783050066286,0.09064412198403275,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,124.854765,171.495029,1.61660395e-10,9.54197794e-14,0.0,2787.57293,2787.57293,279.8756,38.1230768,279.875603,2.05032892e-05,-1.0,1.0,2.05032892e-05,0.000150522225,-0.999999989,0.999999989,0.000150522225
19,442.51172754005637,1917253.6266519618,1917253.6266519618,0.034981621277940834,0.034981621277940834,0.013374969725754308,3.444315583801101e-06,0.03512215725641549,762.165719417054,0.00069014290283149,0.08636734123646697,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,120.538252,146.503764,1.99406427e-09,1.17699312e-12,1.27743118e-17,1385.02794,1385.02794,442.51173,46.5461695,442.511746,2.87232357e-05,-1.0,1.0,2.87232357e-05,0.000273070134,-0.999999963,0.999999963,0.000273070134
20,416.2736125117854,33203216.387857076,33203216.387857076,0.00014823104868162443,0.00014823104868162443,0.0002245433676099226,4.700839592487395e-06,0.059041792791540405,639.1026055027874,0.0032197002925679024,0.016765427699307067,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,124.861367,155.292923,1.7425533e-10,1.02853919e-13,0.0,5762.22357,5762.22357,416.27361,7.5765213,416.273983,2.43836925e-05,-1.0,1.0,2.43836925e-05,0.00133970292,-0.999999103,0.999999103,0.00133970292
21,276.68686001261227,13530357.071018524,13530357.071018524,0.005699092851704138,0.005699092851704138,0.0001268004248445808,2.7379726786223916e-05,0.015414664941623553,581.9149428540924,0.0005840609040311659,0.01884694730773086,0.015,0.02,0.01,0.0035,0.002,0.001,0.00011,0.003,0.0011,0.00015,0.003,0.0011,72.2479025,124.860766,5.19551969e-11,3.06664686e-14,0.0,3678.38658,3678.38658,276.68686,7.75506585,276.686878,1.02525458e-05,-1.0,1.0,1.02525458e-05,0.000365792473,-0.999999933,0.999999933,0.000365792473
